name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method
Kepler-591 b,2561.0,14.628,Neptune-like,2016,11.4,Earth,0.302,Jupiter,0.3554,0.22231348,0.0,Transit
Kepler-1389 b,1622.0,14.896,Super Earth,2016,3.78,Earth,1.77,Earth,0.3869,0.2718686,0.0,Transit
Kepler-204 b,2240.0,13.977,Neptune-like,2014,6.94,Earth,0.226,Jupiter,0.117,0.03942505,0.0,Transit
Kepler-1821 b,2609.0,14.795,Neptune-like,2021,7.24,Earth,0.231,Jupiter,0.1244,0.04517454,0.0,Transit
Kepler-916 b,2710.0,15.363,Super Earth,2016,3.75,Earth,1.76,Earth,0.1885,0.08843258,0.0,Transit
Kepler-54 d,886.0,16.282,Super Earth,2014,2.96,Earth,1.53,Earth,0.126,0.057494868,0.0,Transit
Kepler-432 b,2766.0,12.398,Gas Giant,2015,5.41,Jupiter,1.145,Jupiter,0.301,0.14373717,0.51,Transit
Kepler-353 b,1255.0,16.126,Terrestrial,2014,0.64,Earth,0.89,Earth,0.051,0.015879534,0.0,Transit
Kepler-356 c,2308.0,13.058,Super Earth,2014,3.93,Earth,1.81,Earth,0.115,0.035865847,0.0,Transit
Kepler-1598 b,2022.0,13.929,Terrestrial,2016,0.809,Earth,0.95,Earth,0.0527,0.011772759,0.0,Transit
Kepler-255 d,3433.0,15.699,Super Earth,2016,2.3,Earth,1.32,Earth,0.0192,0.0027378509,0.0,Transit
Kepler-1349 b,901.0,11.209,Terrestrial,2016,0.271,Earth,0.7,Earth,0.0341,0.0057494864,0.0,Transit
Kepler-1030 b,2475.0,16.003,Neptune-like,2016,6.71,Earth,0.221,Jupiter,0.1338,0.05284052,0.0,Transit
Kepler-170 b,2409.0,14.344,Gas Giant,2014,0.26,Jupiter,0.285,Jupiter,0.08,0.02162902,0.0,Transit
Kepler-176 d,1720.0,14.767,Super Earth,2014,15.2,Earth,0.224,Jupiter,0.163,0.07063655,0.0,Transit
Kepler-495 c,2149.0,14.942,Super Earth,2021,1.98,Earth,1.219,Earth,0.0614,0.01615332,0.0,Transit
Kepler-383 b,1533.0,15.473,Super Earth,2014,2.3,Earth,1.32,Earth,0.095,0.035318274,0.0,Transit
Kepler-483 b,2806.0,13.452,Neptune-like,2016,10.4,Earth,0.286,Jupiter,0.2072,0.082683094,0.0,Transit
K2-161 b,2989.0,12.718,Neptune-like,2018,31.1,Earth,0.546,Jupiter,,0.025462013,0.0,Transit
Kepler-1039 b,1001.0,14.438,Super Earth,2016,2.73,Earth,1.46,Earth,0.0184,0.0024640656,0.0,Transit
Kepler-610 c,2759.0,14.816,Neptune-like,2016,10.9,Earth,0.294,Jupiter,0.5594,0.41587952,0.0,Transit
Kepler-830 b,3660.0,14.88,Super Earth,2016,3.53,Earth,1.7,Earth,0.1033,0.030937715,0.0,Transit
K2-398 c,1980.0,13.287,Neptune-like,2022,22.8,Earth,0.455,Jupiter,,0.05147159,0.0,Transit
K2-271 b,1841.0,13.845,Gas Giant,2018,0.131,Jupiter,0.649,Jupiter,0.077,0.023545519,0.0,Transit
Kepler-1546 b,3040.0,15.596,Neptune-like,2016,9.96,Earth,0.279,Jupiter,0.1366,0.053661875,0.0,Transit
Kepler-81 b,1136.0,15.258,Super Earth,2012,17.2,Earth,0.216,Jupiter,0.0522,0.016427105,0.0,Transit
CoRoT-22 b,2046.0,13.82,Neptune-like,2014,12.2,Earth,0.435,Jupiter,0.092,0.026830938,0.08,Transit
Kepler-948 b,2831.0,14.811,Super Earth,2016,4.08,Earth,1.85,Earth,0.0749,0.021355236,0.0,Transit
Kepler-389 b,2664.0,15.769,Super Earth,2014,2.89,Earth,1.51,Earth,0.041,0.008761123,0.0,Transit
Kepler-1233 b,3845.0,14.82,Neptune-like,2016,7.27,Earth,0.232,Jupiter,0.263,0.123477064,0.0,Transit
Kepler-1269 b,3579.0,13.658,Super Earth,2016,3.29,Earth,1.63,Earth,0.226,0.10212183,0.0,Transit
Kepler-171 d,2818.0,15.101,Super Earth,2014,4.23,Earth,1.89,Earth,0.223,0.10841889,0.0,Transit
Kepler-1356 b,2757.0,15.887,Super Earth,2016,2.96,Earth,1.53,Earth,0.0136,0.0016427105,0.0,Transit
Kepler-844 b,1408.0,15.986,Super Earth,2016,3.46,Earth,1.68,Earth,0.0298,0.007118412,0.0,Transit
Kepler-325 c,2685.0,15.175,Neptune-like,2014,6.99,Earth,0.227,Jupiter,0.105,0.03504449,0.0,Transit
Kepler-285 b,2689.0,15.198,Super Earth,2014,2.36,Earth,1.34,Earth,0.036,0.007118412,0.0,Transit
Kepler-191 b,1939.0,14.987,Super Earth,2014,2.36,Earth,1.34,Earth,0.087,0.027104722,0.0,Transit
Kepler-1312 b,976.0,12.491,Neptune-like,2016,5.06,Earth,2.1,Earth,0.0603,0.014784395,0.0,Transit
Kepler-1282 b,3599.0,15.707,Super Earth,2016,3.02,Earth,1.55,Earth,0.0335,0.0057494864,0.0,Transit
Kepler-251 d,3016.0,15.541,Neptune-like,2014,8.1,Earth,0.247,Jupiter,0.182,0.08240931,0.0,Transit
